id,date,amount,utr_ref,narration
BNK-fd7a4afe,2026-08-16,381202.05,UTR-MOCK-10102,NEFT/UTR-MOCK-10102/MSFT AZURE/INV-10102
BNK-22e421c6,2026-08-17,417515.88,UTR-MOCK-10104,NEFT/UTR-MOCK-10104/ATLASSIAN JIRA/INV-10104
BNK-50955157,2026-08-20,193870.59,UTR-MOCK-10129,NEFT/UTR-MOCK-10129/ATLASSIAN JIRA/INV-10129
BNK-3393cc75,2026-08-01,149717.14,UTR-MOCK-10124,NEFT/UTR-MOCK-10124/SLACK TECH/INV-10124
BNK-f4b5edb8,2026-08-07,369506.57,UTR-MOCK-10014,NEFT/UTR-MOCK-10014/PWC CONSULTING/INV-10014
BNK-0e3c2460,2026-08-14,227189.42,UTR-MOCK-10069,NEFT/UTR-MOCK-10069/BHARTI AIRTEL/INV-10069
BNK-02f7e207,2026-08-08,202136.37,UTR-MOCK-10013,NEFT/UTR-MOCK-10013/RAZORPAY/INV-10013
BNK-5bbabb7b,2026-07-30,8696.7,UTR-MOCK-10126,NEFT/UTR-MOCK-10126/TATA COMM/INV-10126
BNK-5994d392,2026-08-11,355012.96,UTR-MOCK-10079,NEFT/UTR-MOCK-10079/MSFT AZURE/INV-10079
BNK-3458d135,2026-08-07,31701.7,UTR-MOCK-10015,NEFT/UTR-MOCK-10015/TATA COMM/INV-10015
BNK-88de9c20,2026-08-11,217179.22,UTR-MOCK-10081,NEFT/UTR-MOCK-10081/ZOHO CORP/INV-10081
BNK-02674002,2026-08-10,113386.4,UTR-MOCK-10338,ACH-DR/UTR-MOCK-10338/DELHIVERY LOGISTICS/BILL-10338
BNK-7dc5266a,2026-08-19,268909.09,UTR-MOCK-10273,NEFT/UTR-MOCK-10273/RAZORPAY/INV-10273
BNK-0f1bf117,2026-08-09,118864.4,UTR-MOCK-10072,NEFT/UTR-MOCK-10072/BHARTI AIRTEL/INV-10072
BNK-3b5e650e,2026-07-30,128579.96,UTR-MOCK-10053,NEFT/UTR-MOCK-10053/RAZORPAY/INV-10053
BNK-475e0d0b,2026-08-12,194489.37,UTR-MOCK-10304,NEFT/UTR-MOCK-10304/STRIPE PAY/INV-10304
BNK-11151d7f,2026-08-06,325364.92,UTR-MOCK-10047,NEFT/UTR-MOCK-10047/TATA COMM/INV-10047
BNK-af30db87,2026-07-26,92508.12,UTR-MOCK-10212,NEFT/UTR-MOCK-10212/GITHUB INC/INV-10212
BNK-491f9b4a,2026-08-08,65722.74,UTR-MOCK-10425-DUP,NEFT/UTR-MOCK-10425/GITHUB INC/INV-10425 RE-POST
BNK-ff423fdf,2026-07-25,98422.87,UTR-MOCK-10287,NEFT/UTR-MOCK-10287/STRIPE PAY/INV-10287
BNK-e0bc42c0,2026-08-08,1202.72,UTR-MOCK-10445,CHG/CMS MONTHLY MAINTENANCE CHARGES/REF-10445
BNK-ca9cf8ac,2026-07-27,260349.27,UTR-MOCK-10274,NEFT/UTR-MOCK-10274/STRIPE PAY/INV-10274
BNK-348f4cbb,2026-08-02,55082.48,UTR-MOCK-10426-DUP,NEFT/UTR-MOCK-10426/HUBSPOT MARKETING/INV-10426 RE-POST
BNK-acaff2b8,2026-08-15,408731.39,UTR-MOCK-10011,NEFT/UTR-MOCK-10011/TATA COMM/INV-10011
BNK-6efe9c0d,2026-08-15,57861.48,UTR-MOCK-10431,NEFT/UTR-MOCK-10431/ZOHO CORP/INV-10431
BNK-9c9a551c,2026-08-12,221748.85,UTR-MOCK-10155,NEFT/UTR-MOCK-10155/AWS CLOUD/INV-10155
BNK-88699826,2026-08-19,443859.06,UTR-MOCK-10036,NEFT/UTR-MOCK-10036/BHARTI AIRTEL/INV-10036
BNK-2e3da7fd,2026-07-30,382968.63,UTR-MOCK-10316,NEFT/UTR-MOCK-10316/PWC CONSULTING/INV-10316
BNK-a407e658,2026-08-07,377481.95,UTR-MOCK-10171,NEFT/UTR-MOCK-10171/STRIPE PAY/INV-10171
BNK-262a67aa,2026-07-24,20077.28,UTR-MOCK-10266,NEFT/UTR-MOCK-10266/UBER BIZ/INV-10266
BNK-b932cf7a,2026-07-25,237967.32,UTR-MOCK-10355,RTGS-OUT/UTR-MOCK-10355/STRIPE PAY SERVICES
BNK-40352a16,2026-08-18,242963.62,UTR-MOCK-10335,RTGS-OUT/UTR-MOCK-10335/BHARTI AIRTEL SERVICES
BNK-fbd0c379,2026-08-01,82571.33,UTR-MOCK-10430-DUP,NEFT/UTR-MOCK-10430/RAZORPAY/INV-10430 RE-POST
BNK-aa535a94,2026-07-25,104486.44,UTR-MOCK-10350,UPI/CR/UTR-MOCK-10350/WEWORK IND/PAYMENT
BNK-f601618a,2026-07-17,11376.79,UTR-MOCK-10359,ACH-DR/UTR-MOCK-10359/KPMG AUDIT/BILL-10359
