id,date,amount,invoice_ref,payee
LED-3b5e650e,2026-07-30,128579.96,INV-MOCK-10053,Razorpay Software Pvt Ltd
LED-39eacedd,2026-08-13,200363.92,INV-MOCK-10281,WeWork India Management
LED-aa535a94,2026-07-28,104486.44,INV-MOCK-10350,WeWork India Management
LED-b06acb4f,2026-07-25,305052.3,INV-MOCK-10175,Tata Communications Ltd
LED-af9389c3,2026-07-26,68860.92,INV-MOCK-10091,Notion Labs Inc
LED-e5a113f9,2026-08-01,179165.69,INV-MOCK-10140,PwC India Tax Consulting
LED-acd6253e,2026-07-30,180143.05,INV-MOCK-10042,Microsoft Regional Sales
LED-decc3d9e,2026-08-12,129922.09,INV-MOCK-10021,Amazon Web Services India
LED-c51a4565,2026-08-05,28576.91,INV-MOCK-10001,Notion Labs Inc
LED-f2eaeb07,2026-08-03,239545.1,INV-MOCK-10022,WeWork India Management
LED-9fd27313,2026-08-07,167817.37,INV-MOCK-10279,KPMG India Advisory
LED-239e1c19,2026-07-24,202071.61,INV-MOCK-10271,Microsoft Regional Sales
LED-893a26f2,2026-08-15,270901.63,INV-MOCK-10127,Amazon Web Services India
LED-8c76a438,2026-07-30,68366.54,INV-MOCK-10288,PwC India Tax Consulting
LED-fceabb14,2026-08-09,28169.56,INV-MOCK-10119,Tata Communications Ltd
LED-2293819a,2026-08-19,238161.38,INV-MOCK-10282,Razorpay Software Pvt Ltd
LED-8e7248e7,2026-08-02,373694.45,INV-MOCK-10217,Notion Labs Inc
LED-506346d6,2026-07-26,83933.77,INV-MOCK-10038,PwC India Tax Consulting
LED-30c7bc8b,2026-07-28,338118.55,INV-MOCK-10237,Notion Labs Inc
LED-ff423fdf,2026-07-25,98422.87,INV-MOCK-10287,Stripe India Payments
LED-16e77247,2026-08-17,101198.79,INV-MOCK-10060,Stripe India Payments
LED-8e3906a9,2026-08-15,408042.8,INV-MOCK-10314,WeWork India Management
LED-143029c8,2026-07-26,300951,INV-MOCK-10048,GitHub Enterprise Services
LED-fd7c5bbc,2026-08-08,169279.37,INV-MOCK-10267,Delhivery Logistics Ltd
LED-848c09ac,2026-08-13,26353.49,INV-MOCK-10195,Uber for Business Solutions
LED-70e7feb7,2026-08-07,277126.65,INV-MOCK-10318,Amazon Web Services India
LED-69805a32,2026-08-09,276431.11,INV-MOCK-10256,WeWork India Management
LED-af30db87,2026-07-26,92508.12,INV-MOCK-10212,GitHub Enterprise Services
LED-8adf5875,2026-08-18,143987.01,INV-MOCK-10116,Google Cloud India Pvt Ltd
LED-878c4877,2026-08-01,240827.18,INV-MOCK-10141,GitHub Enterprise Services
LED-85ab134a,2026-07-31,236888.76,INV-MOCK-10176,Razorpay Software Pvt Ltd
LED-00909655,2026-08-08,399059.06,INV-MOCK-10296,Swiggy Corporate Catering
LED-4410dafd,2026-08-19,426660.16,INV-MOCK-10184,Razorpay Software Pvt Ltd
LED-0566c5a3,2026-08-20,292055.44,INV-MOCK-10002,KPMG India Advisory
LED-b878014e,2026-08-17,66271.09,INV-MOCK-10280,Delhivery Logistics Ltd
LED-e5846cd4,2026-08-05,89119.85,INV-MOCK-10221,Uber for Business Solutions
LED-9ebdc047,2026-08-06,157900.72,INV-MOCK-10290,Amazon Web Services India
LED-9765a640,2026-08-12,71079.12,INV-MOCK-10294,GitHub Enterprise Services
LED-0df3252d,2026-08-17,363692.69,INV-MOCK-10300,HubSpot Ireland Ltd
LED-4e228f0a,2026-08-13,143206.77,INV-MOCK-10308,Airtel Enterprise Telecom
LED-64d62875,2026-08-20,319533.81,INV-MOCK-10295,HubSpot Ireland Ltd
LED-56f2c10b,2026-08-13,55620.57,INV-MOCK-10037,Uber for Business Solutions
LED-09458919,2026-07-31,220832.28,INV-MOCK-10052,HubSpot Ireland Ltd
LED-3f4ff110,2026-07-17,187694.48,INV-MOCK-10330,Razorpay Software Pvt Ltd
LED-398ac53c,2026-08-01,159442.67,INV-MOCK-10213,HubSpot Ireland Ltd
