run_id,settlement_id,payment_id,order_id,type,amount,fee,tax,debit,credit,net_amount,currency,settled_at,unpacked_status,variance_category
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920001,order_MOCK_10001,payment,30932,618.64,111.36,730,30932,30202,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920002,order_MOCK_10002,payment,28888,577.76,104,681.76,28888,28206.24,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920003,order_MOCK_10003,payment,3933,78.66,14.16,92.82,3933,3840.18,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920004,order_MOCK_10004,payment,17587,351.74,63.31,415.05,17587,17171.95,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920005,order_MOCK_10005,payment,34387,687.74,123.79,811.53,34387,33575.47,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920006,order_MOCK_10006,payment,21647,432.94,77.93,510.87,21647,21136.13,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920007,order_MOCK_10007,payment,17977,359.54,64.72,424.26,17977,17552.74,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920008,order_MOCK_10008,payment,29977,599.54,107.92,707.46,29977,29269.54,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920009,order_MOCK_10009,payment,23437,468.74,84.37,553.11,23437,22883.89,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920010,order_MOCK_10010,payment,20089,401.78,72.32,474.1,20089,19614.9,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920011,order_MOCK_10011,payment,18415,368.3,66.29,434.59,18415,17980.41,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920012,order_MOCK_10012,payment,1748,34.96,6.29,41.25,1748,1706.75,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920013,order_MOCK_10013,payment,20513,410.26,73.85,484.11,20513,20028.89,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920014,order_MOCK_10014,payment,28065,561.3,101.03,662.33,28065,27402.67,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920015,order_MOCK_10015,payment,21281,425.62,76.61,502.23,21281,20778.77,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920016,order_MOCK_10016,payment,2677,53.54,9.64,63.18,2677,2613.82,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,pay_N0920017,order_MOCK_10017,payment,32926,658.52,118.53,777.05,32926,32148.95,INR,2026-08-03T09:00:00.000Z,pending,mdr_fee
