run_id,settlement_id,amount,gross_amount,fees,tax,refunds,utr,status,settled_at,item_count,integrity_status,bank_record_id
RUN-SEED-mt4l32y2,setl_DGlQ101os78Ec,572663.56,611628,12232.56,2201.88,24530,UTR-RAZORPAY-88290101,settled,2026-08-03T09:00:00.000Z,32,pending,BNK-SETL-101
RUN-SEED-mt4l32y2,setl_DGlQ102os78Ec,682257.25,723040,14460.8,2602.95,23719,UTR-RAZORPAY-88290102,settled,2026-08-05T09:00:00.000Z,36,pending,BNK-SETL-102
RUN-SEED-mt4l32y2,setl_DGlQ103os78Ec,421650.88,469920,9398.4,1691.72,37179,UTR-RAZORPAY-88290103,settled,2026-08-07T09:00:00.000Z,32,pending,BNK-SETL-103
RUN-SEED-mt4l32y2,setl_DGlQ104os78Ec,644996.06,695929,13918.58,2505.36,34509,UTR-RAZORPAY-88290104,settled,2026-08-09T09:00:00.000Z,33,pending,BNK-SETL-104
RUN-SEED-mt4l32y2,setl_DGlQ105os78Ec,548573.2,593509,11870.18,2136.62,30929,UTR-RAZORPAY-88290105,settled,2026-08-11T09:00:00.000Z,31,pending,BNK-SETL-105
RUN-SEED-mt4l32y2,setl_DGlQ106os78Ec,558793.13,660503,13210.06,2377.81,86122,UTR-RAZORPAY-88290106,settled,2026-08-13T09:00:00.000Z,34,pending,BNK-SETL-106
RUN-SEED-mt4l32y2,setl_DGlQ107os78Ec,616916.83,670134,13402.68,2412.49,37402,UTR-RAZORPAY-88290107,settled,2026-08-15T09:00:00.000Z,36,pending,BNK-SETL-107
RUN-SEED-mt4l32y2,setl_DGlQ108os78Ec,521584.38,534857,10697.14,1925.48,0,UTR-RAZORPAY-88290108,settled,2026-08-17T09:00:00.000Z,27,pending,BNK-SETL-108
RUN-SEED-mt4l32y2,setl_DGlQ109os78Ec,617095.55,632011,12640.22,2275.23,0,UTR-RAZORPAY-88290109,settled,2026-08-19T09:00:00.000Z,29,pending,BNK-SETL-109
RUN-SEED-mt4l32y2,setl_DGlQ110os78Ec,598445.01,651778,13035.56,2346.43,37951,UTR-RAZORPAY-88290110,settled,2026-08-21T09:00:00.000Z,36,pending,BNK-SETL-110
RUN-SEED-mt4l32y2,setl_DGlQ111os78Ec,505350.71,574842,11496.84,2069.45,55925,UTR-RAZORPAY-88290111,settled,2026-08-23T09:00:00.000Z,31,pending,BNK-SETL-111
RUN-SEED-mt4l32y2,setl_DGlQ112os78Ec,510398.66,583743,11674.86,2101.48,59568,UTR-RAZORPAY-88290112,settled,2026-08-25T09:00:00.000Z,32,pending,BNK-SETL-112
RUN-SEED-mt4l32y2,setl_DGlQ113os78Ec,499587.23,532279,10645.58,1916.19,20130,UTR-RAZORPAY-88290113,settled,2026-08-27T09:00:00.000Z,30,pending,BNK-SETL-113
RUN-SEED-mt4l32y2,setl_DGlQ114os78Ec,561255.86,613608,12272.16,2208.98,37871,UTR-RAZORPAY-88290114,settled,2026-08-29T09:00:00.000Z,31,pending,BNK-SETL-114
RUN-SEED-mt4l32y2,setl_DGlQ115os78Ec,610422,651399,13027.98,2345.02,25604,UTR-RAZORPAY-88290115,settled,2026-08-31T09:00:00.000Z,34,pending,BNK-SETL-115
RUN-SEED-mt4l32y2,setl_DGlQ116os78Ec,545393.63,630990,12619.8,2271.57,70705,UTR-RAZORPAY-88290116,settled,2026-09-02T09:00:00.000Z,32,pending,BNK-SETL-116
